"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 91","10.85","10.85","11.57","10.01","27.46M","-3.21%"
"Sep 91","11.21","11.21","12.11","10.73","23.22M","-5.56%"
"Aug 91","11.87","11.87","12.17","10.73","35.10M","3.13%"
"Jul 91","11.51","11.51","11.63","10.13","34.98M","11.64%"
"Jun 91","10.31","10.31","11.09","9.77","39.83M","2.38%"
"May 91","10.07","10.07","10.37","8.75","43.78M","11.27%"
"Apr 91","9.05","9.05","9.53","8.45","29.36M","1.34%"
"Mar 91","8.93","8.93","10.07","8.87","23.44M","-7.46%"
"Feb 91","9.65","9.65","9.71","8.63","29.01M","8.06%"
"Jan 91","8.93","8.93","9.41","7.91","43.15M","1.36%"
"Dec 90","8.81","8.81","11.15","8.63","53.11M","-18.35%"
"Nov 90","10.79","10.79","10.85","9.59","18.21M","11.81%"
"Oct 90","9.65","9.65","10.85","8.51","31.03M","1.90%"
"Sep 90","9.47","9.47","11.45","8.75","30.92M","-18.57%"
"Aug 90","11.63","11.63","13.07","10.67","39.89M","-6.29%"
"Jul 90","12.41","12.41","12.83","11.99","22.68M","0.49%"
"Jun 90","12.35","12.35","13.31","12.11","35.41M","-6.37%"
"May 90","13.19","13.19","13.25","12.77","19.68M","2.33%"
"Apr 90","12.89","12.89","13.31","12.71","16.34M","-1.83%"
"Mar 90","13.13","13.13","14.09","13.01","19.62M","-3.10%"
"Feb 90","13.55","13.55","13.85","12.77","29.78M","6.11%"
"Jan 90","12.77","12.77","14.51","12.65","44.28M","-10.13%"
"Dec 89","14.21","14.21","14.69","13.85","24.79M","-2.87%"
"Nov 89","14.63","14.63","14.87","13.07","32.09M","8.94%"
"Oct 89","13.43","13.43","14.51","12.71","29.88M","-5.89%"
"Sep 89","14.27","14.27","14.63","13.61","27.82M","1.28%"
"Aug 89","14.09","14.09","14.51","13.13","35.66M","4.45%"
"Jul 89","13.49","13.49","13.91","12.95","22.41M","2.74%"
"Jun 89","13.13","13.13","14.33","12.95","30.98M","-2.23%"
"May 89","13.43","13.43","13.91","12.59","35.53M","3.71%"
"Apr 89","12.95","12.95","13.43","12.71","23.68M","0.00%"
"Mar 89","12.95","12.95","13.43","12.65","25.52M","-0.92%"
"Feb 89","13.07","13.07","13.49","12.83","23.35M","-2.68%"
"Jan 89","13.43","13.43","13.61","12.05","40.82M","10.35%"
